Country,Agent,LogoUrl,Office,Coverage,Operation,TransportMode,Services,Contact,Email,Phone,Segments,Networks
Algeria,qualified and experienced,https://assets.jctrans.com/COMPANY_LOGO%2Fbfe6b784-cb5b-4108-9a1d-0404cce99cfd.png,"Algeria, Algiers",,,,,Asmaa Zerzi,asmaa.zerzi@express-logisticweb.com,557162303,,JC Trans
Algeria,SARL ALGORITHME LOGISTICS,https://assets.jctrans.com/COMPANY_LOGO/68710a13-91cd-4101-9a4a-483f600152a5.png,"Algeria, Algiers",,,,,Lies.benhocine,lies.benhocine@algorithmelogistics.com,,,JC Trans
Algeria,SARL TRANSIT HARIECHE,https://assets.jctrans.com/COMPANY_LOGO%2Fcf673814-4c2e-48c9-99e7-92b2a2f6cbf1,"Algeria, Algiers",,,,,HAKIM HARIECHE,transitharieche@yahoo.fr,,,JC Trans
Algeria,Seacom Algiers Agency,https://adm.marcopololine.com/storage/members/logos/ff6329ec45b523c818e135bbea76454a41.jpg,"Algeria, Algiers",,,,,MAZIF SOFIANE,mazif@seacom-dz.com,21321232490/ 21321232470,,MarcoPolo
Angola,EXPRESS HANDLING SERVICES (EHS) - ANGOLA,https://parnity.co/dist/images/company-placeholder.png,"Angola, Luanda/cabinda",,,,,Tony Coker,contact@ehsafricalogistics.com,,,The Cooperative
Angola,Logislink Lda.,https://adm.marcopololine.com/storage/members/logos/1643626190-arnaud.jpg,"Angola, Luanda",,,,,Joelson Firmino,Joelson.firmino@arnaud.pt,244 948 368 829,,MarcoPolo
Angola,Naiber Anvegação Angola Iberica LDA,https://firebasestorage.googleapis.com/v0/b/crosstrades-0axznu.appspot.com/o/users%2FJ2ts6HCBkfhDovRNULvL9kOJAJt1%2Fuploads%2F1709090013583000.jpg?alt=media&token=8215ca2f-6177-4935-b207-15f2d6a22936,"Angola, Luanda",,,Air Road Sea,Brokerage Projects Warehousing,Afrisch,afrisch@naiberangola.com,,,CrossTrades
Angola,"Olicargo Transitario Angola, S.A.",https://assets.jctrans.com/COMPANY_LOGO%2F1c5dfa9b-6fcf-4d30-a6e1-33846a83e9b6,"Angola, Luanda",,,,,Carolina Nunes,Ibd.porto.angola@olicargo.com,,,JC Trans
Angola,"Rangel Angola Expresso &Transitos, Lda.",https://assets.jctrans.com/COMPANY_LOGO/b1a81d80-ebe2-4ee0-b713-d69e6bdae7c4.png,"Angola, Luanda",,,,,"Rangel Angola Expresso &Transitos, Lda",rodolfo.santos@rangel.com,,,JC Trans
Angola,Rapid Shipping & Logistics Angola Lda,https://parnity.co/dist/images/company-placeholder.png,"Angola, Luanda",,,,,Wesley Pereira,wesley.pereira@megaspeedcargo.com,,,Alfa
Angola,Tiba Angola,https://firebasestorage.googleapis.com/v0/b/crosstrades-0axznu.appspot.com/o/users%2FOX9tFxENeeYnyIsckogr1ui5V5p2%2Fuploads%2F1709979173057000.jpg?alt=media&token=d6d0ec79-f1a1-4d63-ba13-0fed84ab3157,"Angola, Luanda",,,Air Road Sea,Brokerage Projects Warehousing,Rsilva,rsilva@tibagroup.com,,,CrossTrades
Antigua and Barbuda,LAPARKAN,https://parnity.co/dist/images/company-placeholder.png,"Antigua And Barbuda, St. John's",,,,,Group Email,wcafamily@laparkan.com,,,The Cooperative
Argentina,954 LINCOLN S.A.,https://uploadscdn-fldot-nectios-fldot-com.s3.eu-central-003.backblazeb2.com/images/FcFIHIW5Npk74mXSZVNhLINCOLN__Isologo_color_grande.GIF?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0033355f40f68f40000000003%2F20250630%2Feu-central-003%2Fs3%2Faws4_request&X-Amz-Date=20250630T203335Z&X-Amz-Expires=604800&X-Amz-Signature=1792215274e2901dc9d783b86adf7712eff266ec25953508c507956e13995370&X-Amz-SignedHeaders=host,"Argentina, Buenos Aires",,,,,Gabriel Ferrari,ghf@954lincoln.com.ar,,,IAN
Argentina,ACTION GLOBAL CARGO S.R.L.,https://assets.jctrans.com/COMPANY_LOGO/ef7fb980-a147-4070-93b6-dd4000ebdffd.png,"Argentina, Buenos Aires",,,,,Mr. Alex Giandon,info@actionglobalcargo.com,5491137301311,,JC Trans
Argentina,ALMAR GROUP S.R.L,https://www.mgln.net/_next/image?url=https%3A%2F%2Fapi.mgln.net%2FUploads%2FCompanyLogos%2F1744970715_2612.jpg&w=384&q=75,"Argentina, Buenos Aires",,,,,CARLOS BIDABEHERE,cbidabehere@almaronline.com,541150370470,,MGLN
Argentina,ALONSO GROUP,https://pplnet.pplonefamily.net/images/companies/alonso.jpg,Argentina,,,,,Claudio Spallone,cspallone@alonso-argentina.com,54 11 5235 6333,,PPL
Argentina,ALONSO LOGISTICS ARGENTINA S.A.,https://assets.jctrans.com/COMPANY_LOGO/b7d7eba4-f8ae-49c2-a044-9c07decbaae0.png,"Argentina, Buenos Aires",,,,,Alonso Logistics Argentina s.a.,cspallone@alonso-argentina.com,,,JC Trans
Argentina,AMERICAN TRADING CO. SRL,https://www.mgln.net/_next/image?url=https%3A%2F%2Fapi.mgln.net%2FUploads%2FOwnerImages%2F1744368065_9629.jpeg&w=384&q=75,"Argentina, Buenos Aires",,,,,GASTON ARIEL APARICIO,gaston@americantrading.com.ar,54 11 5263 0854,,MGLN
Argentina,ARGENTINA CARGO SRL,https://assets.jctrans.com/COMPANY_LOGO/f00e0ff5-ea2b-479d-94a9-334c399978d0.png,"Argentina, Buenos Aires",,,,,ARGENTINA CARGO SRL,christian@argentina-cargo.com.ar,,,JC TransConnecta
Argentina,ATA Logistics Argentina,https://adm.marcopololine.com/storage/members/logos/44015fe1577f1a735bf84c250197d2a545.jpg,"Argentina, Buenos Aires",,,,,CEO / Presidente - Mr. Cristian Carboni,ccarboni@atalogistics.com.ar,54 11 47371536,,MarcoPolo
Argentina,ATA-certified forwarder with full national reach,https://assets.jctrans.com/COMPANY_LOGO/cf6b243e-6c48-4d44-bd5f-b5f2085c6bae.png,"Argentina, Rosario",,,,,Pablo Trabattoni,ptrabattoni@grupo-sp.com.ar,5493413060025,,JC Trans
Argentina,Baires Logistic S.R.L.,https://www.connecta-network.com/wp-content/uploads/CompanyLogo/Baires-Logistic-Argentina.png,"Argentina, Buenos Aires",,,,,Mr Alex Gandica,agandica@bairesarg.com.ar,541143132015,,Connecta
Argentina,BLOVER LOGISTICS S.R.L.,https://assets.jctrans.com/COMPANY_LOGO/c58457e5-0cb0-477e-9f7a-1105cb6f9026.png,"Argentina, Buenos Aires",,,,,Pablo De Chiara,pablo.dechiara@blover-logistics.com,54 9 11 2399-7875,,JC Trans
Argentina,CARGAS DEL PLATA - GRUPO LOGISTICO DEL PLATA SRL,https://www.logifem.com.tr/wp-content/uploads/2023/12/cargas.jpeg,Argentina,,,,,Vanesa Viedma,vanesa@cargasdelplata.com,5491144105012,,Logifem
Argentina,Cargo Staff Logistics,https://parnity.co/dist/images/company-placeholder.png,"Argentina, Buenos Aires",,,,,Fernando Stilman,fernando.stilman@cargostaff.com.ar,,,Alfa
Argentina,CARGOCORP ARGENTINA,https://assets.jctrans.com/COMPANY_LOGO/b28a0f1e-dfc4-45c4-8f32-3ce96d1ffbea.png,"Argentina, Buenos Aires",,,,,Nicolas Luna,nluna@cargocorp.ar,,,JC Trans
Argentina,CBM GROUP SRL,https://parnity.co/dist/images/company-placeholder.png,"Argentina, Buenos Aires",,,,,Marina Onda Moreno,customerarg@cbm-grp.com,54 911 6220 0678,,FDX
Argentina,Cordoba Internacional srl,https://www.connecta-network.com/wp-content/uploads/CompanyLogo/cordoba_internacional_argentina-2.png,"Argentina, Cordoba",,,,,Mr Orchansky Marcelo,morchansky@cordobaintl.com.ar,543514223492,,Connecta
Argentina,DACIC LOGISTICS S.R.L.,https://assets.jctrans.com/COMPANY_LOGO/8471565b-1a03-4a50-a6e6-2cce13d1ba2b.png,"Argentina, Buenos Aires",,,,,Jhon Paul,jpcabral@dacic.com.ar,,,JC Trans
Argentina,DIAGONAL TRADE SA,https://parnity.co/dist/images/company-placeholder.png,"Argentina, Buenos Aires",,,,,Jorge Monraval,jmonraval@diagonaltradesa.com.ar,,,The Cooperative
Argentina,DODERO CARGAS S.A,https://twignetwork.com/internal/images/logo/1bc9d3bfc5ce39d8d8c84f5648eaf356.png,"Argentina, Ciudad Autónoma De Buenos Aires",,,Air Rail,Integrated Logistics Breakbulk Dangerous E-commerce FCL,Denise,cargas@stork.com.ar,,,Twig
Argentina,Dynamic Logistics SA,https://twignetwork.com/internal/images/logo/97859eb2b0ac6d8bdc9c64565dbe8325.htm,"Argentina, Buenos Aires",,,Air Rail,Sea Road Breakbulk Dangerous E-commerce,Matias,matiasq@dynamiclogistics.com.ar,,,Twig
Argentina,Flying Cargo Service SRL,https://assets.jctrans.com/COMPANY_LOGO/59bba6a9-a245-4cef-8199-62c1570b9e33,"Argentina, Buenos Aires",,,,,German Rana,grana@flyingcargo.com.ar,5491141976920,,JC Trans
Argentina,FRAMEX S.R.L.,https://assets.jctrans.com/COMPANY_LOGO%2F8bc2d91f-cd23-438f-b065-43669b75d7d5.jpg,"Argentina, Cordoba",,,,,Mariano Gabriel Franzosi,mfranzosi@framexgroup.com,5493516411694,,JC TransPPL
Argentina,FULL CARGO,https://pplnet.pplonefamily.net/images/companies/full-cargo.jpg,Argentina,,,,,Milton Cavero,milton.cavero@fullcargo.com.ar,54 11 5272 0029,,PPL
Argentina,Geo Logistics Argentina S.R.L.,https://adm.marcopololine.com/storage/members/logos/1675414496-Picture1.jpg,"Argentina, C1092aat Buenos Aires Arg",,,,,Mariano Laudisio - Managing Director,mariano.laudisio@geologistics.com.ar,54-11-5252-2332,,MarcoPolo
Argentina,Global Motion S.A.,https://assets.jctrans.com/COMPANY_LOGO%2Fe1f2c456-72b3-4ab4-8866-8ce953af3a2b.png,"Argentina, Buenos Aires",,,,,Yanina Cano Faverio,ycano@globalmotion.com.ar,,,JC Trans
Argentina,Grifapp SRL,https://parnity.co/dist/images/company-placeholder.png,Argentina,,,,,Grifapp,grifapp@grifapp.com,,,C5C
Argentina,GRUPO LOGISTICO DEL PLATA SRL(CARGAS DEL PLATA),https://assets.jctrans.com/COMPANY_LOGO/5850394b-8aee-49ef-b135-1da699e6ecae,"Argentina, Buenos Aires",,,,,ENRIQUE MONTAGNA,enriquem@cargasdelplata.com,54 9 11 4066-7378,,JC Trans
Argentina,HDL LOGISTICS S.R.L.,https://assets.jctrans.com/COMPANY_LOGO/f37a47c4-39c4-493d-9d12-cd2401dcd9bd.png,"Argentina, Buenos Aires",,,,,xpolanco,xpolanco@hdllogistics.com.ar,,,JC Trans
Argentina,HUB CARGO SRL,https://parnity.co/dist/images/company-placeholder.png,"Argentina, Cordoba",,,,,Nicolás Andrés Franzosi,nfranzosi@grupotham.com,,,The Cooperative
Argentina,Independent Logistic Services S.A,https://aeroceanetwork.net/wp-content/uploads/2019/07/Independent--300x87.jpg,"Argentina, Buenos Aires",,,,,,,,,AON
Argentina,Integral Cargo SRL,https://twignetwork.com/internal/images/logo/783d5be3812270a2a675ee449b565784.png,"Argentina, Buenos Aires",,,Air Rail,Integrated Logistics Aerospace Breakbulk Dangerous FCL,Santiago Grippo,pricing@integralcargo.com,,,TwigJC Trans
Argentina,Inter American Cargo Group S.A.,https://assets.jctrans.com/COMPANY_LOGO%2F6bdbb2b8-cf24-4d88-ad49-7e743a1423af,"Argentina, Buenos Aires",,,,,Andres Bunge,info@interamerican.com.ar,54911 69035394,,JC Trans
Argentina,INTERBORDERS SRL,https://twignetwork.com/internal/images/logo/f0464d4cf3ca15c309442ac9636a3f54.jpg,"Argentina, Buenos Aires",,,Air Rail,Breakbulk Dangerous FCL General LCL,"Interborders, S.R.L.",pricing@interborders.com,005491150269263,,TwigJC Trans
Argentina,International Fresh Forwarder SRL,https://aeroceanetwork.net/wp-content/uploads/2019/03/international-fresh-forwarder-New-300x167.jpg,"Argentina, Buenos Aires",,,,,,,,,AON
Argentina,INTERPORT/IFS ARGENTINA,https://twignetwork.com/internal/images/logo/a4d415e6060140fbcdf91659f846f794.png,"Argentina, Buenos Aires",,,Air Rail,Breakbulk Dangerous E-commerce FCL General,Elizabeth,elizabeth.guajardo@ar-ifs.com,,,Twig
Argentina,IQ LOGISTICS,https://pplnet.pplonefamily.net/images/companies/iq.jpg,Argentina,,,,,"Gaston Fariña, Fernando Cuomo",sales2@iqlogistics.com.ar,54 11 5751-7657,,PPL
Argentina,L K GLOBAL SA,https://assets.jctrans.com/COMPANY_LOGO/7ac2ba3f-449a-4567-a33a-8e567ac2c4c6.png,"Argentina, Buenos Aires",,,,,Kevin Kang,kev@lkglobal.com.ar,541162540363,,JC TransPPL
Argentina,Latcomex SA,https://adm.marcopololine.com/storage/members/logos/1738662391-logo%20lat.png,"Argentina, C1107cbk Buenos Aires Arg",,,,,Jimena Garcia,jimenag@latcomex.com.ar,54 11 5246 9493,,MarcoPolo
Argentina,LOWEX,https://twignetwork.com/internal/images/logo/d8f0bdc3fe70e5660056a4a0d26b974f.png,"Argentina, Buenos Aires",,,Air Rail,Integrated Logistics Aerospace Dangerous E-commerce FCL,Paloma,phernandez@lowex.com.ar,,,Twig
Argentina,MARRAC SRL,https://pangea-network.com/wp-content/uploads/CompanyLogo/Marrac-Logistica-Argentina-.avif,"Argentina, Buenos Aires",,,,,Mr Gabriel Perri,cargo@marrac.com.ar,541152738700,,Connecta
Argentina,Mercator Transport Argentina,https://app.oceanx.network/uploads/logo/d58b861f881c6f20870ba7787b6cda4d6e99a9d4.jpeg,"Argentina, Buenos Aires",,,,,FEDERICO TOMASSINO,ftomassino@mercatortransport.com,,,OceanX
Argentina,MERZCARGO ARGENTINA S.A.,https://uploadscdn-fldot-nectios-fldot-com.s3.eu-central-003.backblazeb2.com/image/gA7l4pEnA2xC80xbfMQxMERZCARGO_ARGENTINA.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0033355f40f68f40000000003%2F20250630%2Feu-central-003%2Fs3%2Faws4_request&X-Amz-Date=20250630T203335Z&X-Amz-Expires=604800&X-Amz-Signature=03089e2e6740768c67c830d9c70c23073d23315c769761a2a2551a9f718b404c&X-Amz-SignedHeaders=host,"Argentina, Buenos Aires",,,,,Dan Jalif,djalif@merzcargo.com.ar,54 911 6011-6489,,IAN
Argentina,NOAH SERVICES S.R.L.,https://assets.jctrans.com/COMPANY_LOGO/38dd26b2-8502-4635-85c9-281a9b9ff1be.png,"Argentina, Buenos Aires",,,,,Julieta Arias,julieta@noahserv.com,,,JC Trans
Argentina,Noatum Logistics Argentina INC SRL,https://assets.jctrans.com/COMPANY_LOGO%2Ffd5373c1-6fb2-4150-bdf5-946e190aa1b6,"Argentina, Buenos Aires",,,,,NL Procurement Argentina,PROCUREMENTARBUE@NOATUMLOGISTICS.COM,,,JC Trans
Argentina,Nova International SA,https://parnity.co/dist/images/company-placeholder.png,Argentina,,,,,Info,info@novainternational.com.ar,,,C5C
Argentina,OnBoard Argentina,https://adm.marcopololine.com/storage/members/logos/1602166289-on%20board.jpg,"Argentina, Buenos Aires",,,,,Mr. Gonzalo de Hoz,gonzalo@onboard.com.ar,54 11 39835804,,MarcoPolo
Argentina,Penta Worldwide AR (formally known as Sistemas Globales),https://parnity.co/dist/images/company-placeholder.png,Argentina,,,,,Ca,ca@pentaworldwide.com,,,C5C
Argentina,Seabird Argentina S.A.,https://adm.marcopololine.com/storage/members/logos/1743444580-Logo_Seabird_Principal[9].jpg.jpeg,"Argentina, Buenos Aires",,,,,Mr. Christian Wunderlich,cwunderlich@seabird.com.ar,54 11 47014444,,MarcoPolo
Argentina,SeaSide Logistic SA,https://twignetwork.com/internal/images/logo/f225eca6244a2ab4091c40c037c1d24b.jpeg,"Argentina, Buenos Aires",,,Air Rail,Aerospace Breakbulk Dangerous E-commerce FCL,Micaela,micaela@sea-side.com.ar,,,Twig
Argentina,Sky Cargo S.R.L,https://assets.jctrans.com/COMPANY_LOGO%2F7f2d4d79-5963-4712-bd83-050f2028c3b7,"Argentina, Buenos Aires",,,,,Yesica Olivera,yesica@skycargo.com.ar,,,JC TransPPL
Argentina,Smart Logistics SA,https://assets.jctrans.com/COMPANY_LOGO%2F49152ef7-7fbd-4a77-949b-c34ef554c570,"Argentina, Buenos Aires",,,,,Alfredo Garcia Samartino,a.samartino@smartlog.com.ar,,,JC Trans
Argentina,SOUL CARGO GROUP SRL,https://assets.jctrans.com/COMPANY_LOGO%2F45802de6-4a81-44c6-9de0-0653c1214a6e,"Argentina, Buenos Aires",,,,,Mariano Cura Suaya,sales@soulcargogroup.com,1163815396,,JC Trans
Argentina,SOUTHCROSS LOGISTICS S.A.,https://www.connecta-network.com/wp-content/uploads/CompanyLogo/southcross_argentina-1.png,"Argentina, Buenos Aires",,,,,Santiago Borzone,sborzone@southcrosslog.com,93416469386,,JC TransConnecta
Argentina,SOUTHERN TEAM,https://pplnet.pplonefamily.net/images/companies/southern-team.jpg,Argentina,,,,,Daniel Martinez,daniel_martinez@southernteam.com.ar,"54 1143313107, 54 1143313108",,PPL
Argentina,SYNERGIA LOGISTICA SRL (Sinerlogic),https://assets.jctrans.com/COMPANY_LOGO/150f1489-a5f9-4a2f-895c-81d7e0ab2aa4.png,"Argentina, Buenos Aires",,,,,Synergia Logistica SRL (Sinerlogic),comercial@sinerlogic.com,,,JC Trans
Argentina,TALWIN TRANSPORT SERVICE SA,https://twignetwork.com/internal/images/logo/e131978fc7acc08f19b8edb29e56ddef.jfif,"Argentina, Buenos Aires",,,Air,Sea Road Time Critical Perishables Dangerous,Lorena,lorena.lezcano@talwingroup.com,,,TwigJC TransThe Cooperative
Argentina,Teva Logistics Group S.R.L.,https://assets.jctrans.com/COMPANY_LOGO%2Fd12444f1-fd8d-4dee-8bc3-e1c0e6acacd8,"Argentina, Buenos Aires",,,,,SANTIAGO GUERRA DELGADO,santiago.guerra@tevalg.com,5491137774137,,JC Trans
Argentina,TGL ARGENTINA S.A.U.,https://assets.jctrans.com/COMPANY_LOGO/2ad609d9-d643-425a-af5d-efbac0ef289f.png,"Argentina, Buenos Aires",,,,,Tae Kim,ktae.kim@e-tgl.com,56 2 3246 8881,,JC Trans
Argentina,Tiba Argentina S.A.,https://firebasestorage.googleapis.com/v0/b/crosstrades-0axznu.appspot.com/o/users%2FOX9tFxENeeYnyIsckogr1ui5V5p2%2Fuploads%2F1709979341641000.jpg?alt=media&token=8174081d-15a7-4907-85c7-33b67966e850,"Argentina, Buenos Aires",,,Air Road Sea,Brokerage Projects Warehousing,Networkingpricing Ar,networkingpricing-ar@tibagroup.com,,,CrossTrades
Argentina,Transaltic,https://pangea-network.com/wp-content/uploads/CompanyLogo/transaltic_argentina.png,"Argentina, Buenos Aires",,,,,Mr Guillermo Japas,gjapas@transaltic.com.ar,541160736721,,Connecta
Argentina,TRICE,https://twignetwork.com/internal/images/logo/dc38bfff9b6f3ae04b4d873debfa5764.png,"Argentina, Buenos Aires",,,Air Rail,Integrated Logistics Breakbulk Dangerous FCL General,Noelia,nolmos@trice.group,,,Twig
Argentina,UNIVERSAL CARGO,https://pplnet.pplonefamily.net/images/companies/universal-cargo.jpg,Argentina,,,,,Gustavo Grandolio,ggrandolio@universalcargo.com.ar; sayala@universalcargo.com.ar,54 1153523400,,PPL
Argentina,VACLOG,https://parnity.co/dist/images/company-placeholder.png,"Argentina, Buenos Aires",,,,,Maria Elina Vische,mevische@vaclog.com,,,The Cooperative
Argentina,VEXA Logistics S.A.,https://twignetwork.com/internal/images/logo/7d00bc9f7d38d833b0739d6faec906cf.jpg,"Argentina, Buenos Aires",,,Air Rail,Sea Road Aerospace Breakbulk Dangerous,Leandro,lmarrollo@vexalogistics.com,,,Twig
Armenia,AVIA GIT GROUP LTD. CO.,https://www.connecta-network.com/wp-content/uploads/CompanyLogo/avia_git_group_armenia.png,"Armenia, Yerevan",,,,,Mr Mushegh Tonoyan,logistics@aviagit.am,37410587132,,Connecta
Armenia,EXPRESS LOGISTICS LLC,https://assets.jctrans.com/COMPANY_LOGO/87c7ea66-ceef-49f5-8914-db1021315b97.png,"Armenia, Yerevan",,,,,Suren Yepremyan,info@elog.am,,,JC Trans
Armenia,GLOBALINK LOGISTICS - YEREVAN,https://parnity.co/dist/images/company-placeholder.png,"Armenia, Yerevan",,,,,Mr. Aftab Ahmed,a.ahmed@globalinklogistics.com,,,The Cooperative
Armenia,Globalink Logistics Armenia,https://parnity.co/dist/images/company-placeholder.png,Armenia,,,,,Sales,sales@globalinklogistics.com,,,C5C
Armenia,GN LLC,https://parnity.co/dist/images/company-placeholder.png,"Armenia, Yerevan",,,,,Ovsanna Stepanyan,stepanyan.ovsanna@gmail.com,,,Alfa
Armenia,Gosselin Armenia,https://firebasestorage.googleapis.com/v0/b/crosstrades-0axznu.appspot.com/o/users%2FgSLiroglB1P1feFSObY0aN5qqkT2%2Fuploads%2F1710931047902000.jpg?alt=media&token=7627fb8a-457e-494a-b314-078748f3821b,"Armenia, Yerevan",,,Air Road Sea,Brokerage Projects Warehousing,J Braeckeveldt,J.Braeckeveldt@gosselin-moving.com,,,CrossTrades
Armenia,JIT express,https://www.mgln.net/_next/image?url=https%3A%2F%2Fapi.mgln.net%2FUploads%2FCompanyLogos%2F1744968248_1792.jpg&w=384&q=75,"Armenia, Yerevan",,,,,Rima,r.davtyan@jitexpress.am,37499718702,,MGLN
Armenia,New Way Holding LLC,https://assets.jctrans.com/COMPANY_LOGO%2Fef1507ee-ed45-45fe-9a2b-68c1b28bf049,"Armenia, Yerevan",,,,,Armine Nurijanyan,a.nurijanyan@nwholding.am,,,JC Trans
Armenia,Specialized in sea and land transportation,https://assets.jctrans.com/COMPANY_LOGO/f214342c-cee8-447c-be7f-3d70f2026209.png,"Armenia, Yerevan",,,,,Srbuhi Harutyunyan,srbuhi.harutyunyan@trustway.am,,,JC Trans
Armenia,Transimpex LLC,https://assets.jctrans.com/COMPANY_LOGO/9880dc7f-d004-4c9f-860a-2e975fbae55b.png,"Armenia, Yerevan",,,,,Arthur Abovyan,arthur.abovyan@transimpex.am,94997784,,JC Trans
Australia,1UP Your Supply Chain,https://assets.jctrans.com/COMPANY_LOGO%2F680acfd0-a2bd-48ff-a266-e16b758b67ce,"Australia, Sydney",,,,,Omid Jay Ahmadi,,61 2 9134 5314,,JC Trans
Australia,3SIXTY GLOBAL LOGISTICS PTY LTD,https://assets.jctrans.com/COMPANY_LOGO%2Fd82b0b3e-4188-455c-b744-5ace3b4e705f,"Australia, Sydney",,,,,Anastasios ( Tom ) Kalabalikis,tom@3sixtyglobal.com.au,,,JC Trans
Australia,3SIXTY5 FREIGHT AND CUSTOMS PTY LTD,https://assets.jctrans.com/COMPANY_LOGO%2Fa379539f-57b3-481c-974d-c29227abe26c.png,"Australia, Sydney",,,,,KUMAR KARUPPUSAMY,kumar@365freight.com.au,,,JC Trans
Australia,8 FREIGHT AUSTRALIA PTY LTD,https://assets.jctrans.com/COMPANY_LOGO/046bf08a-7ccf-4da8-a428-c9827b09b5dc.png,"Australia, Sydney",,,,,Vadim Potorac,andreas.koenig@8-freight.net,,,JC Trans
Australia,ACE Global Logistics,https://assets.jctrans.com/COMPANY_LOGO/a187e230-4e22-4f4c-b068-a9383eab192d,"Australia, Sydney",,,,,Jason Vuong,jason@acegloballogistics.com,,,JC Trans
Australia,ACE INTERNATIONAL LOGISTIC MANAGEMENT CO PTY LTD,https://assets.jctrans.com/COMPANY_LOGO%2F0992d525-d292-4e14-ad3a-1669db3c930d.png,"Australia, Sydney",,,,,Elseve Zhou,elseve@acelogistic.net.au,,,JC Trans
Australia,ACP,https://pplnet.pplonefamily.net/images/companies/acp.jpg,Australia,,,,,Anita Hayburn,anita@acpbrokers.com.au,61 7 3262 5552,,PPL
Australia,ACROSS THE OCEAN,https://pplnet.pplonefamily.net/images/companies/across-the-ocean.jpg,Australia,,,,,Ieuan Edwards,ieuan@atoshipping.com,61 420 774 083,,PPL
Australia,Across The Ocean Shipping Pty Ltd,https://app.mappers.ai/user_content/company_logo/894bb9dfedfad53d43ac968b8b22670f.jpg,"Australia, Melbourne",,,,,David Aherne,david@atoshipping.com,,,JC TransAON
Australia,AION CARGO SOLUTIONS AUSTRALIA PTY LTD,https://assets.jctrans.com/COMPANY_LOGO/f93b3b06-9db6-4c34-830f-e197a2069aea.png,"Australia, Sydney",,,,,Leon Liu,sales@aioncargo.com.au,,,JC Trans
Australia,Airmark Ocean & Air Logistics,https://assets.jctrans.com/COMPANY_LOGO%2F57ad940a-bab0-4e68-bfd9-f5eee91cc873,"Australia, Sydney",,,,,Sr. Mark Gonsalves,mark@airmark.com.au,,,JC Trans
Australia,Airwave (Australia) Pty Ltd,https://app.mappers.ai/user_content/company_logo/b4693ec9e9455e28d6f67a42ade35dfc.png,"Australia, Melbourne",,,,,Scott Farquharson,scott@airwaveaust.com.au,,,JC Trans
